key,de,en
LOOK_BRAN,Das ist Bran. Er ist ein Veteran meiner Einheit und mein wichtigster Verbündeter. Er weiß bestimmt mehr über den Fall.,That's Bran. He's a veteran of my unit and my most important ally. He probably knows more about the case.
LOOK_DEAD_BODY,Die Gliedmaßen des Mordopfers sind total verdreht. Was hier nur passiert ist?,The victim's limbs are completely twisted. What on earth happened here?
LOOK_ARM_DES_ZEUGEN,Da scheint etwas unter der Leiche zu liegen.,There seems to be something lying under the body.
LOOK_MARLON,"Marlon ist ein Neuling meiner Einheit, aber bereits jetzt ein unersetzliches Mitglied. Er untersucht die Leiche.","Marlon is new to my unit, but he's already an irreplaceable member. He's examining the body."
LOOK_PYR_SOLDIER,Das sind Polizeisoldaten aus Pyr. Der Fall unterliegt eigentlich ihrem Verantwortungsbereich.,Those are police officers from Pyr. The case actually falls under their jurisdiction.
LOOK_ZEUGE_A,Dieser Mann ist ein Zeuge. Und er ist rund.,This man is a witness. And he's round.
LOOK_ZEUGE_B,Dieser Mann war bei dem Verbrechen anwesend. Komisch. Sein Arm scheint herausgerissen worden zu sein.,This man was present at the crime scene. Strange. His arm appears to have been torn off.
LOOK_UMGEBUNG_TATORT,Hier herrscht das reinste Chaos. Überall liegen zerstörte Prothesen.,It's absolute chaos here. There are broken prosthetics lying all over the place.
LOOK_AUSSTELLUNG,Hier herrscht das reinste Chaos. Überall liegen zerstörte Prothesen.,Part of the exhibition survived the chaos.
LOOK_PHIOLE_GREEN_LIQUID,"Das ist ein seltsames Behältnis. Darin ist eine grüne Flüssigkeit, die sitrisyschem Öl ähnelt.",That's a strange container. It contains a green liquid that resembles sitrysic oil.
LOOK_AUTOPSIE,Die Gliedmaßen des Opfers sind vollständig verdreht und das sitrysische Öl in seinen Prothesen ist ungewöhnlich grün verfärbt.,"The victim's limbs are completely twisted, and the sitrysic oil in his prosthetics has turned an unusual shade of green."
